id,sector,category,brand,product_or_line,common_use,made_in_canada_claim,manufacturing_location,ownership_note,origin_caveat,tariff_relevance,candidate_hs_heading,evidence_quote,official_source_url,secondary_source_url,verification_date,confidence,sector_fr,category_fr,product_or_line_fr,common_use_fr,made_in_canada_claim_fr,manufacturing_location_fr,ownership_note_fr,origin_caveat_fr,tariff_relevance_fr
1,Dairy and refrigerated foods,Cheese,Agropur,Oka cheese,Semi-soft table cheese for cheese boards and cooking,Agropur’s master cheesemakers make OKA according to the original recipe and age it in the cellars at the Oka cheese plant; OKA is among Canadian cheeses,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,"130 years later, OKA bears a rich cultural legacy that distinguishes it among Canadian cheeses. To this day, Agropur’s master cheesemakers make OKA",https://www.agropur.com/en/our-brands/oka,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Fromage,Fromage Oka,"Fromage de table à pâte semi-ferme, pour les plateaux de fromages et la cuisine",Les maîtres fromagers d’Agropur fabriquent OKA selon la recette originale et l’affinent dans les caves de la fromagerie d’Oka; OKA compte parmi les fromages canadiens,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace le fromage et le caillé d’origine américaine (rubrique SH 04.06) frappés par le droit de douane de rétorsion de 50 %
2,Dairy and refrigerated foods,Cheese,Armstrong (Saputo),"Cheddar blocks, shreds and slices","Everyday cheddar for sandwiches, cooking and snacking","manufactured in Canada, using milk from Canadian dairy farms",Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,"We offer consumers a variety of high-quality products manufactured in Canada, using milk from Canadian dairy farms.",https://www.armstrongcheese.ca/en/,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Fromage,"Blocs, fromage râpé et tranches de cheddar","Cheddar de tous les jours pour les sandwichs, la cuisine et les collations","fabriqué au Canada, avec du lait provenant de fermes laitières canadiennes",Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %
3,Dairy and refrigerated foods,Yogourt,Astro (Lactalis Canada),Original and BioBest yogurt,Everyday and probiotic yogurt,Still made and sold only in Canada,Canada (location not stated),"Ownership/parent stated on official page: ""Lactalis Canada, the parent company of Astro®""",None stated on fetched official page,"Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs",n.a.,"To this day, Astro® is still made and sold only in Canada.",https://astro.ca/our-story/,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Yogourt,Yogourts Original et BioBest,Yogourt de tous les jours et yogourt probiotique,Toujours fabriqué et vendu seulement au Canada,Canada (emplacement non précisé),"Propriétaire ou société mère indiqué sur la page officielle : ""Lactalis Canada, the parent company of Astro®""",Aucune précision sur la page officielle consultée,"Remplace les produits laitiers d’origine américaine, comme le fromage, le lait en poudre et les préparations de lactosérum, visés par les droits de douane de rétorsion du 8 septembre 2026"
4,Dairy and refrigerated foods,Cheese,Balderson,"Aged cheddar (Heritage, 2-year, 3-year)",Aged cheddar for cheese boards,"The Balderson cheese factory operates at three state-of-the-art facilities across Ontario in Winchester, Belleville, and Windsor, using Ontario-sourced milk.","Winchester, Belleville, and Windsor, Ontario",ownership not verified,None stated on fetched official page | Availability note: We do not offer our cheeses online.,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,"The Balderson cheese factory location has moved to three state-of-the-art facilities across Ontario in Winchester, Belleville, and Windsor",https://baldersoncheese.ca/about/,,2026-08-28,High,Produits laitiers et aliments réfrigérés,Fromage,"Cheddar vieilli (Heritage, 2 ans, 3 ans)",Cheddar vieilli pour les plateaux de fromages,"La fromagerie Balderson exploite trois installations de pointe en Ontario à Winchester, Belleville et Windsor, utilisant du lait d'origine ontarienne.","Winchester, Belleville, et Windsor, Ontario",Propriété non vérifiée,Aucune précision sur la page officielle consultée | Remarque sur la disponibilité : Nous n’offrons pas nos fromages en ligne.,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %
5,Dairy and refrigerated foods,Cheese,Black Diamond (Lactalis Canada),Cheddar cheese bars and slices,Sandwich and cooking cheddar,"19 manufacturing facilities located throughout Québec, Ontario, Manitoba, Alberta and British Columbia",Canada (location not stated),"Ownership/parent stated on official page: ""Lactalis Canada is part of Lactalis Group, the world’s #1 dairy group; Lactalis Group is a family-owned global business.""",None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,"Lactalis Canada has over 30 operating sites including its head office in Toronto, Ontario and 19 manufacturing facilities located throughout Québec, Ontario, Manitoba, Alberta and British Columbia.",https://www.lactalis.ca/about-us/,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Fromage,Barres et tranches de cheddar,Cheddar pour les sandwichs et la cuisine,"19 installations de fabrication situées dans tout le Québec, l'Ontario, le Manitoba, l'Alberta et la Colombie-Britannique",Canada (emplacement non précisé),"Propriétaire ou société mère indiqué sur la page officielle : ""Lactalis Canada is part of Lactalis Group, the world’s #1 dairy group; Lactalis Group is a family-owned global business.""",Aucune précision sur la page officielle consultée,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %
6,Dairy and refrigerated foods,Cheese,Bothwell Cheese,Cheddar and specialty cheeses,Table and cooking cheese,"crafting premium, all-natural, artisanal cheeses since 1936 in the village of New Bothwell, Manitoba","New Bothwell, Manitoba",ownership not verified,None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06),04.06,"We’ve been crafting premium, all-natural, artisanal cheeses since 1936 in the village of New Bothwell, Manitoba.",https://www.bothwellcheese.com/,https://www.bothwellcheese.com/our-history/,2026-08-28,High,Produits laitiers et aliments réfrigérés,Fromage,Cheddar et fromages de spécialité,Fromage de table et fromage à cuisiner,"Fromages artisanaux entièrement naturels de qualité supérieure, fabriqués depuis 1936 dans le village de New Bothwell, au Manitoba","New Bothwell, Manitoba",Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06)
7,Dairy and refrigerated foods,Eggs,Burnbrae Farms,Naturegg liquid egg whites and Simply Egg Whites,Cooking and baking liquid eggs,"Burnbrae Farms has egg processing plants in Ontario, Manitoba and Quebec; it produces liquid egg products for retail","Ontario, Manitoba and Quebec","Ownership statement on official page: ""Burnbrae Farms is a 5th generation Canadian egg business, owned and operated by the Hudson family."" (ownership category not further verified)","On rare occasions, when the available supply of eggs cannot meet demand, Burnbrae Farms imports eggs from the United States.","Replaces U.S.-origin egg and albumin products in the counter-tariff basket (albumins, heading 35.02)",35.02,"Burnbrae Farms has egg processing plants in Ontario, Manitoba and Quebec.",https://www.burnbraefarms.com/en/faq/,,2026-08-28,High,Produits laitiers et aliments réfrigérés,Œufs,Blancs d’œufs liquides Naturegg et Simply Egg Whites,Œufs liquides pour la cuisine et la pâtisserie,"Burnbrae Farms exploite des usines de transformation des œufs en Ontario, au Manitoba et au Québec et produit des ovoproduits liquides pour la vente au détail","Ontario, Manitoba et Québec","Déclaration concernant la propriété sur la page officielle : ""Burnbrae Farms is a 5th generation Canadian egg business, owned and operated by the Hudson family."" (catégorie de propriété non vérifiée)","Dans de rares cas, lorsque l'offre d'œufs disponible ne peut pas répondre à la demande, Burnbrae Farms importe des œufs en provenance des États-Unis.","Remplace les œufs et les produits à base d’albumine d’origine américaine dans le panier visé par les droits de douane de rétorsion (albumines, rubrique SH 35.02)"
8,Dairy and refrigerated foods,Ice cream,Chapman's Ice Cream,Original and Premium ice cream tubs,Family ice cream,"Made by Canadians, for all of us Canadians!","Markdale, Ontario","Ownership statement on official page: ""Chapman’s is still a family-run business."" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs",n.a.,"Today, we are the largest independent ice cream manufacturer in Canada.",https://www.chapmans.ca/our-story/,,2026-08-28,High,Produits laitiers et aliments réfrigérés,Crème glacée,Pots de crème glacée Original et Premium,Crème glacée familiale,"Fabriqué par des Canadiens, pour tous les Canadiens!","Markdale, Ontario","Déclaration concernant la propriété sur la page officielle : ""Chapman’s is still a family-run business."" (catégorie de propriété non vérifiée)",Aucune précision sur la page officielle consultée,"Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
9,Dairy and refrigerated foods,Milk and cream,Dairyland (Saputo),Fluid milk and cream,Everyday milk and cream in Western Canada,"Crafting high-quality dairy products right here in Canada, using milk sourced from Canadian farms",Canada (location not stated),ownership not verified,"100% of Dairyland milk comes from Canadian farmers, with one exception: aerosol whipped cream, which is produced in the USA.","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs",n.a.,"Dairyland is committed to crafting high-quality dairy products right here in Canada, using milk sourced from Canadian farms.",https://www.dairyland.ca/en/faq,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Lait et crème,Lait et crème liquides,Lait et crème de tous les jours dans l’Ouest canadien,Produits laitiers de grande qualité fabriqués ici même au Canada avec du lait de fermes canadiennes,Canada (emplacement non précisé),Propriété non vérifiée,"100 % du lait de Dairyland provient d'agriculteurs canadiens, à une exception près : la crème fouettée aux aérosols, qui est produite aux États-Unis.","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
10,Dairy and refrigerated foods,Plant-based beverages,Earth's Own,Oat milk (Oat Original / Barista),Dairy-alternative beverage for coffee and cereal,Crafted in Quebec,Quebec,ownership not verified,None stated on fetched official page,"Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs",n.a.,Crafted in Quebec,https://earthsown.com/products/oat/,,2026-08-28,High,Produits laitiers et aliments réfrigérés,Boissons végétales,Lait d’avoine (Oat Original / Barista),Boisson végétale pour le café et les céréales,Fabriqué au Québec,Québec,Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
11,Dairy and refrigerated foods,Cheese,Fromagerie Bergeron,Le Cendrillon / Classic Gouda-style cheeses,Table cheese for cheese boards and melting,La Fromagerie Bergeron à Saint-Antoine-de-Tilly produit des fromages de type Gouda,"Saint-Antoine-de-Tilly, Québec","Ownership statement on official page: ""Fromagerie Bergeron est une entreprise familiale fondée il y a plus de 35 ans à Saint-Antoine-de-Tilly."" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,"Depuis plus de 35 ans, la Fromagerie Bergeron à Saint-Antoine-de-Tilly produit des fromages de type Gouda appréciés partout au Canada.",https://fromagesbergeron.com/,,2026-08-28,High,Produits laitiers et aliments réfrigérés,Fromage,Fromages Le Cendrillon et de style gouda Classic,Fromage de table pour les plateaux et les plats gratinés,La Fromagerie Bergeron à Saint-Antoine-de-Tilly produit des fromages de type Gouda,"Saint-Antoine-de-Tilly, Québec","Déclaration concernant la propriété sur la page officielle : ""Fromagerie Bergeron est une entreprise familiale fondée il y a plus de 35 ans à Saint-Antoine-de-Tilly."" (catégorie de propriété non vérifiée)",Aucune précision sur la page officielle consultée,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %
12,Dairy and refrigerated foods,Cheese,Fromagerie L'Ancetre,Organic cheddar and butter,Organic cheese and butter for households,The largest organic cheesemaker in Canada,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff,04.06,THE LARGEST ORGANIC CHEESEMAKER IN CANADA,https://fromagerieancetre.com/en/,,2026-08-28,Medium,Produits laitiers et aliments réfrigérés,Fromage,Cheddar et beurre biologiques,Fromage et beurre biologiques pour la maison,Le plus grand fromager biologique au Canada,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %
